stage,key,default,candidates,type,reason
4-支撑、振幅和回撤,absolute_max_amp_10d,0.5,"[0.4, 0.45, 0.5]",float,本轮直接调优
4-支撑、振幅和回撤,absolute_max_pullback_20d,-0.35,"[-0.25, -0.3, -0.35]",float,本轮直接调优
1-流动性与相对强度,amount10_vs_30_min_ratio,0.8,"[0.7, 0.8, 0.9, 1.0]",float,本轮直接调优
5-原尾部量干价稳,big_down_return,-0.07,"[-0.05, -0.06, -0.07]",float,本轮直接调优
5-原尾部量干价稳,big_down_volume_ratio,1.5,"[1.2, 1.5, 2.0]",float,本轮直接调优
6-箱体与紧密K线,box_tail.breakout_ready_position_min,0.75,"[0.65, 0.75, 0.85]",float,本轮直接调优
6-箱体与紧密K线,box_tail.broken_close_tolerance,0.03,"[0.02, 0.03, 0.05]",float,本轮直接调优
6-箱体与紧密K线,box_tail.compact_kline.atr_contraction_ratio_max,0.8,"[0.65, 0.8, 0.95]",float,本轮直接调优
6-箱体与紧密K线,box_tail.compact_kline.avg_body_ratio_max,0.025,"[0.018, 0.025, 0.035]",float,本轮直接调优
6-箱体与紧密K线,box_tail.compact_kline.close_range_max,0.05,"[0.03, 0.05, 0.07]",float,本轮直接调优
固定参数,box_tail.compact_kline.enabled,true,,fixed,本轮设计未列入搜索空间，保持生产语义
6-箱体与紧密K线,box_tail.compact_kline.max_body_ratio_max,0.04,"[0.03, 0.04, 0.05]",float,本轮直接调优
6-箱体与紧密K线,box_tail.compact_kline.max_gap_ratio,0.03,"[0.02, 0.03, 0.05]",float,本轮直接调优
6-箱体与紧密K线,box_tail.compact_kline.min_overlap_pair_count,3,"[1, 2, 3, 4, 5, 6]",int,本轮直接调优
6-箱体与紧密K线,box_tail.compact_kline.min_overlap_ratio,0.5,"[0.4, 0.5, 0.6]",float,本轮直接调优
固定参数,box_tail.compact_kline.premium_atr_contraction_ratio_max,0.65,,fixed,本轮设计未列入搜索空间，保持生产语义
固定参数,box_tail.compact_kline.premium_avg_body_ratio_max,0.018,,fixed,本轮设计未列入搜索空间，保持生产语义
固定参数,box_tail.compact_kline.premium_close_range_max,0.03,,fixed,本轮设计未列入搜索空间，保持生产语义
固定参数,box_tail.compact_kline.premium_overlap_ratio,0.65,,fixed,本轮设计未列入搜索空间，保持生产语义
6-箱体与紧密K线,box_tail.compact_kline.window_days,5,"[3, 5, 7]",int,本轮直接调优
6-箱体与紧密K线,box_tail.current_close_high_tolerance,0.03,"[0.02, 0.03, 0.05]",float,本轮直接调优
